Year,LatGIS,LonGIS,Location,Species,Outcome
1900,-11.58,131.12,Northern Territory Australia,Other,Non-fatal
1900,-19.3,146.91,Queensland Australia,Other,Non-fatal
1900,-33.8,151.15,Sydney Australia,Other,Non-fatal
1901,34.92,33.64,Cyprus,Other,Fatal
1901,-27.48,153,Brisbane Australia,Other,Fatal
1901,27.51,-80.3,Florida USA,Other,Non-fatal
1901,-11.58,131.12,Northern Territory Australia,Other,Non-fatal
1901,-27.5,153.02,Brisbane Australia,Other,Non-fatal
1902,39.15,2.93,Balearic Islands Spain,Other,Fatal
1902,31.37,27.24,Egypt,Other,Non-fatal
1903,23.14,-82.34,Havana Cuba,Other,Fatal
1903,34.99,25.75,Crete Greece,Other,Fatal
1903,34.99,25.75,Crete Greece,Other,Fatal
1903,-27.7,153.28,Queensland Australia,Other,Fatal
1903,-34.68,150.86,New South Wales Australia,Other,Non-fatal
1904,23.14,-82.34,Havana Cuba,Other,Fatal
1904,22.53,-79.46,Cuba,Other,Fatal
1904,22.53,-79.46,Cuba,Other,Fatal
1904,-27.42,153.12,Brisbane Australia,Other,Non-fatal
1905,-29.86,31.03,Durban South Africa,Other,Fatal
1905,30.32,-81.39,Jacksonville Florida USA,Other,Non-fatal
1905,-28.82,153.27,New South Wales Australia,Other,Non-fatal
1906,-29.86,31.04,Durban South Africa,Other,Fatal
1906,-9.95,142.17,Torres Strait Australia,Other,Fatal
1906,-14.69,145.51,Queensland Australia,Other,Fatal
1906,-35.7,150.2,New South Wales Australia,Other,Non-fatal
1907,-19.26,146.82,Townsville Australia,Other,Fatal
1907,-45.37,170.87,Dunedin New Zealand,Other,Fatal
1907,16.17,-95.19,Oaxaca Mexico,Other,Non-fatal
1907,18.19,-73.75,Haiti,Other,Non-fatal
1907,-9.92,144.05,Papua New Guinea,Other,Non-fatal
1907,35.92,14.68,Malta,White Shark,Fatal
1907,35.92,14.68,Malta,White Shark,Fatal
1909,34.28,11.32,Mediterranean Sea,White Shark,Fatal
1910,-32.92,151.79,Newcastle Australia,Other,Fatal
1910,-21.6,149.23,Queensland Australia,Other,Non-fatal
1911,29.35,-94.74,Galveston Texas USA,Other,Fatal
1911,-10.58,142.22,Torres Strait Australia,Other,Non-fatal
1912,-19.26,146.83,Townsville Australia,Other,Fatal
1912,-33.84,151.3,Sydney Australia,Other,Non-fatal
1912,-27.33,153.09,Brisbane Australia,Other,Non-fatal
1912,-33.84,151.17,Sydney Australia,Requiem,Fatal
1913,-33.84,151.24,Sydney Australia,Other,Fatal
1913,-35.15,138.47,South Australia,Other,Non-fatal
1913,-45.11,170.98,Otago New Zealand,Other,Non-fatal
1914,30.03,-90.08,New Orleans Louisiana USA,Other,Fatal
1914,-35.95,145,Victoria Australia,Other,Fatal
1914,-19.14,146.84,Townsville Australia,Other,Non-fatal
1914,-33.84,151.14,Sydney Australia,Other,Non-fatal
1914,-27.23,153.26,Brisbane Australia,Other,Non-fatal
1915,-27.32,153.07,Brisbane Australia,Other,Non-fatal
1915,-27.23,153.26,Brisbane Australia,Other,Non-fatal
1915,-33.8,151.29,Sydney Australia,Requiem,Non-fatal
1916,39.55,-74.25,New Jersey USA,Other,Fatal
1916,39.95,-74.17,New Jersey USA,Other,Fatal
1916,-19.24,146.81,Townsville Australia,Other,Fatal
1916,-23.13,150.75,Queensland Australia,Other,Fatal
1916,-33.87,151.25,Sydney Australia,Other,Fatal
1916,40.58,-73.95,New York USA,Other,Non-fatal
1916,-19.25,146.82,Townsville Australia,Other,Non-fatal
1916,40.42,-74.22,New Jersey USA,White Shark,Fatal
1916,40.42,-74.22,New Jersey USA,White Shark,Fatal
1916,40.42,-74.22,New Jersey USA,White Shark,Non-fatal
1917,32.11,-80.83,South Carolina USA,Other,Non-fatal
1917,40.36,-73.97,New York USA,Other,Non-fatal
1917,41,-72.57,Connecticut USA,Other,Non-fatal
1917,32.9,13.16,Libya,Other,Non-fatal
1917,-20.3,118.6,Western Australia,Other,Non-fatal
1918,-16.71,146.06,Queensland Australia,Other,Fatal
1918,-32.93,151.79,Newcastle Australia,Other,Non-fatal
1918,-28.18,153.56,New South Wales Australia,Other,Non-fatal
1919,-33.84,151.24,Sydney Australia,Other,Fatal
1919,-31.42,152.9,New South Wales Australia,Other,Fatal
1919,32.76,-79.92,South Carolina USA,Other,Non-fatal
1919,-32.93,151.79,Newcastle Australia,Other,Non-fatal
1920,-32.92,151.76,Newcastle Australia,Other,Fatal
1920,-19.86,152.42,Queensland Australia,Other,Fatal
1920,26.96,-82.39,Florida USA,Other,Non-fatal
1920,-33.91,18.43,Cape Town South Africa,Other,Non-fatal
1920,-29.22,31.5,Durban South Africa,Other,Non-fatal
1920,-35.03,117.33,Western Australia,Other,Non-fatal
1920,-19.12,146.77,Townsville Australia,Other,Non-fatal
1920,-28.83,153.27,New South Wales Australia,Other,Non-fatal
1920,-32,115.75,Western Australia,Wobbegong,Non-fatal
1921,19.85,-72.31,Haiti,Other,Fatal
1921,14.6,120.83,Philippines,Other,Fatal
1921,-16.92,146.25,Queensland Australia,Other,Fatal
1921,-27.45,153.05,Brisbane Australia,Other,Fatal
1921,-18.38,146.24,Queensland Australia,Other,Non-fatal
1921,-27.45,153.05,Brisbane Australia,Other,Non-fatal
1922,-25.28,152.84,Queensland Australia,Blue,Fatal
1922,-19.26,146.83,Townsville Australia,Other,Fatal
1922,-32.91,151.79,Newcastle Australia,Sand Tiger,Non-fatal
1922,-33.92,151.26,Sydney Australia,White Shark,Fatal
1922,-33.92,151.26,Sydney Australia,White Shark,Fatal
1923,-31.99,115.78,Western Australia,Other,Fatal
1923,-18.54,147.41,Queensland Australia,Other,Fatal
1923,-19.26,146.83,Townsville Australia,Other,Non-fatal
1923,-18.67,147.23,Queensland Australia,Other,Non-fatal
1924,18.22,-66.59,Puerto Rico,Other,Fatal
1924,-20.01,150.4,Queensland Australia,Other,Fatal
1924,-33.81,151.03,Sydney Australia,Other,Fatal
1924,32.65,-79.94,South Carolina USA,Other,Non-fatal
1924,8.8,-79.53,Panama,Other,Non-fatal
